Time (uS) - Plot 0;Amplitude - Plot 0 - real;Time (uS) - Plot 0;Amplitude - Plot 1 - imag
3080;-5,00E+03;3080;-7,00E+03
3100;2,40E+04;3100;9,00E+03
3120;3,20E+04;3120;-5,00E+03
3140;-2,00E+04;3140;-3,10E+04
3160;2,30E+04;3160;-3,30E+04
3180;-4,00E+03;3180;-8,70E+04
3200;-8,00E+03;3200;1,20E+04
3220;-1,30E+04;3220;5,00E+03
3240;-1,10E+04;3240;-2,80E+04
3260;4,20E+04;3260;1,50E+04
3280;1,80E+04;3280;3,50E+04
3300;-1,10E+04;3300;-2,40E+04
3320;-4,00E+03;3320;1,50E+04
3340;-4,50E+04;3340;7,00E+03
3360;-9,00E+03;3360;-5,90E+04
3380;2,00E+04;3380;-3,50E+04
3400;-4,60E+04;3400;3,30E+04
3420;-6,00E+04;3420;-3,00E+03
3440;2,20E+04;3440;5,80E+04
3460;-3,70E+04;3460;3,50E+04
3480;5,90E+04;3480;5,90E+04
3500;-6,00E+03;3500;-3,20E+04
3520;4,30E+04;3520;-6,00E+03
3540;-5,00E+03;3540;-1,50E+04
3560;-1,60E+04;3560;2,00E+04
3580;-7,00E+03;3580;1,10E+04
3600;-1,50E+04;3600;1,50E+04
3620;1,80E+04;3620;-3,40E+04
3640;6,30E+04;3640;-4,00E+03
3660;1,10E+04;3660;-9,00E+03
3680;6,20E+04;3680;2,20E+04
3700;-7,80E+04;3700;4,60E+04
3720;1,90E+04;3720;2,40E+04
3740;-1,00E+03;3740;3,00E+03
3760;-1,10E+04;3760;1,60E+04
3780;-4,00E+03;3780;-6,70E+04
3800;1,50E+04;3800;-5,10E+04
3820;-3,30E+04;3820;9,76E+02
3840;-3,90E+04;3840;2,80E+04
3860;1,90E+04;3860;2,90E+04
3880;-3,40E+04;3880;5,00E+04
3900;2,10E+04;3900;-8,10E+04
3920;4,10E+04;3920;-9,00E+03
3940;1,82E+02;3940;6,90E+04
3960;2,40E+04;3960;6,40E+04
3980;2,70E+04;3980;-1,60E+04
4000;-1,30E+04;4000;3,50E+04
4020;-2,00E+03;4020;3,70E+04
4040;-2,70E+04;4040;3,00E+04
4060;2,80E+04;4060;-1,30E+04
4080;9,00E+03;4080;4,00E+04
4100;-8,00E+03;4100;7,00E+03
4120;3,00E+03;4120;5,80E+04
4140;4,50E+04;4140;-4,20E+04
4160;4,70E+04;4160;2,00E+03
4180;1,12E+05;4180;-1,10E+04
4200;1,90E+04;4200;5,00E+03
4220;-3,50E+04;4220;-1,90E+04
4240;-3,00E+03;4240;-6,00E+03
4260;-2,00E+04;4260;2,20E+04
4280;1,80E+04;4280;-3,00E+04
4300;-2,20E+04;4300;1,00E+04
4320;1,50E+04;4320;-1,80E+04
4340;2,00E+04;4340;8,00E+03
4360;-1,40E+04;4360;3,80E+04
4380;-1,20E+04;4380;-1,10E+04
4400;4,90E+04;4400;-7,00E+03
4420;-2,10E+04;4420;-1,40E+04
4440;3,40E+04;4440;1,20E+04
4460;-1,50E+04;4460;-3,70E+04
4480;-4,70E+04;4480;-2,70E+04
4500;-1,80E+04;4500;-4,00E+03
4520;-2,80E+04;4520;-3,40E+04
4540;-1,30E+04;4540;-3,40E+04
4560;-1,30E+04;4560;-2,00E+04
4580;5,90E+04;4580;-1,80E+04
4600;4,40E+04;4600;2,90E+04
4620;-1,70E+04;4620;-4,70E+04
