T1 powers,T1(p),T1(p) Std dev
0.0005894959,2.0975370467,0.0601475636
0.0242423273,2.2439576776,0.0260782540
0.0544295052,2.3525186689,0.0227492026
0.0862844940,2.4547346996,0.0291582128
0.1161781291,2.5579914707,0.0368345956
