Atomic Number	Symbol	Mass Number	Isotope	Spin	Natural Abundance	Magnetic Moment	Magnetogyric ratio (10^7 rad / (T s))	Quadrupole Moment (Q/fm^2)	Frequency Ratio	Reference Sample	Sample Conditions	Literature	Line-width Factor (l/fm^4)	Relative Receptivity 1H	Relative Receptivity 13C
76	Os	189	189Os	3/2	16.15	0.852	2.107	85.6	7.7654	0s04	"CCI4, 0.98 M"	22	9800	3.95E-04	2.32
77	Ir	191	191Ir	3/2	37.3	0.1946	0.4812	81.6	1.718				8900	1.09E-05	6.38E-02
77	Ir	193	193Ir	3/2	62.7	0.2113	0.5227	75.1	1.871				7500	2.34E-05	0.137
78	Pt	195	195Pt	1/2	33.832	1.0557	5.8385		21.496784	Na2PtC16	"D2O, 1.2 M"	9		3.51E-03	20.7
79	Au	197	197Au	3/2	100	0.191271	0.47306	54.7	1.729				4000	2.77E-05	0.162
80	Hg	199	199Hg	1/2	16.87	0.87621937	4.8457916		17.910822	"Me,Hg"	neat	11		1.00E-03	5.89
80	Hg	201	201Hg	3/2	13.18	-0.7232483	-1.788769	38.6	6.611583	(CH2)2HgD	neat	41	2000	1.97E-04	1.16
81	Tl	203	203Tl	1/2	29.524	2.80983305	15.5393338		57.1232	Tl(NO3)3		24		5.79E-02	3.40E+02
81	Tl	205	205Tl	1/2	70.476	2.83747094	15.6921808		57.683838	TI (NO3)3		25		0.142	8.36E+02
82	Pb	207	207Pb	1/2	22.1	1.00906	5.58046		20.920599	Me4Pb	neat/C6D4 k	9		2.01E-03	11.8
83	Bi	209	209Bi	9/2	100	4.5444	4.375	-51.6	16.069288	Bi(NO3)2	HNO3/D2O/H20	9	200	0.144	8.48E+02
92	U	235	235U	7/2	0.72	-0.43	-0.52	493.6	1.8414						
